ID_IPEDS,STABBR,year,degree_bach,public,enroll_ftug,grant_federal_t
127185,CO,2010,1,1,833,1237211.0
127200,CO,2010,0,1,1544,3581207.0
127219,CO,2010,0,0,54,254832.0
127228,CO,2010,0,0,63,165426.0
127316,CO,2010,0,0,157,481764.0
127389,CO,2010,0,1,134,367175.0
127556,CO,2010,1,1,1831,3337348.0
127565,CO,2010,1,1,2023,3383406.0
127617,CO,2010,0,1,84,303952.0
127653,CO,2010,1,0,38,83602.0
127680,CO,2010,1,0,9,19300.0
127714,CO,2010,1,0,4,9800.0
127732,CO,2010,0,1,411,1050914.0
127741,CO,2010,1,1,2227,3440424.0
127778,CO,2010,0,1,283,929150.0
127787,CO,2010,0,0,62,265162.0
127820,CO,2010,0,1,1612,4911517.0
127839,CO,2010,0,0,418,957050.0
127884,CO,2010,0,1,619,2380244.0
127909,CO,2010,0,1,832,1884649.0
127918,CO,2010,1,0,446,913489.0
127945,CO,2010,1,0,139,270351.0
127954,CO,2010,1,0,5,5550.0
128106,CO,2010,1,1,980,2546993.0
128151,CO,2010,0,1,385,722989.0
128179,CO,2010,0,0,456,1483536.0
128188,CO,2010,0,0,342,1477071.0
128258,CO,2010,0,1,287,1020761.0
128337,CO,2010,0,0,60,267675.0
128391,CO,2010,1,1,479,607598.0
128498,CT,2010,1,0,161,474088.0
128540,CT,2010,0,0,35,83252.0
128577,CT,2010,0,1,224,492014.0
128586,CT,2010,1,0,25,0.0
128674,CT,2010,0,0,992,2577998.0
128683,CT,2010,1,0,305,1018874.0
128726,CT,2010,0,0,116,82500.0
128744,CT,2010,1,0,594,2234338.0
128771,CT,2010,1,1,1350,1915261.0
128780,CT,2010,1,1,0,
128896,CT,2010,0,0,24,52416.0
128902,CT,2010,1,0,488,385851.0
129002,CT,2010,0,0,55,197050.0
129020,CT,2010,1,1,3335,3357469.0
129154,CT,2010,1,0,292,1055629.0
129181,CT,2010,0,0,832,2402523.0
129215,CT,2010,1,1,915,1081378.0
129242,CT,2010,1,0,922,1054401.0
129349,CT,2010,0,0,101,206744.0
129367,CT,2010,0,1,425,1631787.0
129482,CT,2010,0,0,507,2407416.0
129525,CT,2010,1,0,1378,1939050.0
129534,CT,2010,1,0,2,0.0
129543,CT,2010,0,1,858,2966549.0
129695,CT,2010,0,1,1103,2187133.0
129729,CT,2010,0,1,1004,2280732.0
129756,CT,2010,0,1,374,715251.0
129774,CT,2010,1,0,228,395185.0
129808,CT,2010,0,1,670,1402238.0
129923,CT,2010,0,0,346,1169135.0
129932,CT,2010,0,0,839,1952600.0
129941,CT,2010,1,0,1005,1348851.0
129969,CT,2010,0,0,189,494024.0
130004,CT,2010,0,1,577,868730.0
130040,CT,2010,0,1,193,573230.0
130110,CT,2010,1,0,21,39326.0
130174,CT,2010,0,0,515,1527167.0
130183,CT,2010,1,0,587,1738512.0
130217,CT,2010,0,1,320,854941.0
130226,CT,2010,1,0,1637,1493902.0
130253,CT,2010,1,0,974,1078695.0
130314,CT,2010,1,0,229,417378.0
130396,CT,2010,0,1,894,2155581.0
130448,CT,2010,0,0,4,0.0
130493,CT,2010,1,1,1248,2062326.0
130509,CT,2010,0,0,459,573434.0
